price,trade_size
7.0,8576
7.14,8518
7.28,8461
7.42,8404
7.56,8347
7.7,8290
7.84,8235
7.98,8179
8.12,8124
8.26,8069
8.4,8015
8.54,7962
8.68,7909
8.82,7856
8.96,7804
9.11,7753
9.25,7702
9.39,7652
9.53,7602
9.67,7553
9.81,7505
9.95,7457
10.09,7409
10.23,7362
10.37,7316
10.51,7270
10.65,7225
10.79,7181
10.93,7137
11.07,7093
11.21,7050
11.35,7008
11.49,6966
11.63,6925
11.77,6884
11.91,6844
12.05,6804
12.19,6764
12.33,6725
12.47,6687
12.61,6649
12.75,6612
12.89,6575
13.04,6538
13.18,6502
13.32,6466
13.46,6431
13.6,6396
13.74,6362
13.88,6328
14.02,6294
14.16,6261
14.3,6228
14.44,6195
14.58,6163
14.72,6131
14.86,6100
15.0,6069
