price,trade_size
7.0,8726
7.14,8666
7.29,8606
7.43,8547
7.57,8488
7.71,8430
7.86,8372
8.0,8314
8.14,8257
8.29,8201
8.43,8145
8.57,8090
8.71,8035
8.86,7981
9.0,7927
9.14,7874
9.29,7822
9.43,7770
9.57,7718
9.71,7668
9.86,7618
10.0,7568
10.14,7519
10.29,7471
10.43,7423
10.57,7376
10.71,7330
10.86,7284
11.0,7239
11.14,7194
11.29,7150
11.43,7106
11.57,7063
11.71,7020
11.86,6978
12.0,6937
12.14,6896
12.29,6855
12.43,6815
12.57,6776
12.71,6737
12.86,6698
13.0,6660
13.14,6623
13.29,6585
13.43,6549
13.57,6513
13.71,6477
13.86,6441
14.0,6406
14.14,6372
14.29,6337
14.43,6304
14.57,6270
14.71,6237
14.86,6205
15.0,6172
