price,trade_size
7.0,7160
7.17,7117
7.35,7073
7.52,7030
7.7,6986
7.87,6942
8.04,6899
8.22,6855
8.39,6811
8.57,6768
8.74,6724
8.91,6681
9.09,6638
9.26,6595
9.43,6552
9.61,6510
9.78,6468
9.96,6426
10.13,6384
10.3,6343
10.48,6302
10.65,6262
10.83,6222
11.0,6182
11.17,6142
11.35,6103
11.52,6064
11.7,6026
11.87,5988
12.04,5951
12.22,5914
12.39,5877
12.57,5841
12.74,5805
12.91,5770
13.09,5734
13.26,5700
13.43,5666
13.61,5632
13.78,5598
13.96,5565
14.13,5533
14.3,5500
14.48,5468
14.65,5437
14.83,5406
15.0,5375
