price,trade_size
7.0,8424
7.16,8357
7.31,8290
7.47,8224
7.63,8159
7.78,8095
7.94,8031
8.1,7967
8.25,7905
8.41,7843
8.57,7782
8.73,7722
8.88,7662
9.04,7604
9.2,7546
9.35,7489
9.51,7433
9.67,7377
9.82,7323
9.98,7269
10.14,7216
10.29,7163
10.45,7112
10.61,7061
10.76,7011
10.92,6962
11.08,6913
11.24,6866
11.39,6819
11.55,6772
11.71,6726
11.86,6681
12.02,6637
12.18,6593
12.33,6550
12.49,6508
12.65,6466
12.8,6425
12.96,6384
13.12,6344
13.27,6304
13.43,6265
13.59,6227
13.75,6189
13.9,6151
14.06,6114
14.22,6078
14.37,6042
14.53,6006
14.69,5971
14.84,5937
15.0,5902
