price,trade_size
7.0,10867
7.1,10823
7.2,10779
7.3,10735
7.4,10692
7.5,10648
7.6,10604
7.7,10561
7.8,10518
7.9,10475
8.0,10432
8.1,10389
8.2,10346
8.3,10304
8.4,10261
8.5,10219
8.6,10177
8.7,10135
8.8,10094
8.9,10052
9.0,10011
9.1,9970
9.2,9929
9.3,9888
9.4,9848
9.5,9807
9.6,9767
9.7,9727
9.8,9688
9.9,9648
10.0,9609
10.1,9570
10.2,9531
10.3,9493
10.4,9454
10.5,9416
10.6,9378
10.7,9341
10.8,9303
10.9,9266
11.0,9229
11.1,9192
11.2,9156
11.3,9119
11.4,9083
11.5,9047
11.6,9012
11.7,8976
11.8,8941
11.9,8906
12.0,8871
12.1,8836
12.2,8802
12.3,8768
12.4,8734
12.5,8700
12.6,8667
12.7,8633
12.8,8600
12.9,8567
13.0,8535
13.1,8502
13.2,8470
13.3,8438
13.4,8406
13.5,8375
13.6,8343
13.7,8312
13.8,8281
13.9,8250
14.0,8219
14.1,8189
14.2,8159
14.3,8129
14.4,8099
14.5,8069
14.6,8040
14.7,8010
14.8,7981
14.9,7952
15.0,7924
