price,trade_size
7.0,8258
7.15,8208
7.29,8158
7.44,8109
7.58,8060
7.73,8010
7.87,7962
8.02,7913
8.16,7864
8.31,7816
8.45,7768
8.6,7720
8.75,7673
8.89,7626
9.04,7579
9.18,7533
9.33,7487
9.47,7441
9.62,7396
9.76,7351
9.91,7307
10.05,7263
10.2,7219
10.35,7176
10.49,7134
10.64,7091
10.78,7049
10.93,7008
11.07,6967
11.22,6926
11.36,6886
11.51,6847
11.65,6807
11.8,6768
11.95,6730
12.09,6692
12.24,6654
12.38,6617
12.53,6580
12.67,6544
12.82,6508
12.96,6472
13.11,6437
13.25,6402
13.4,6368
13.55,6334
13.69,6300
13.84,6267
13.98,6234
14.13,6201
14.27,6169
14.42,6137
14.56,6106
14.71,6075
14.85,6044
15.0,6013
