price,trade_size
7.0,7842
7.17,7788
7.33,7735
7.5,7681
7.67,7628
7.83,7575
8.0,7522
8.17,7469
8.33,7417
8.5,7365
8.67,7313
8.83,7262
9.0,7211
9.17,7161
9.33,7111
9.5,7062
9.67,7012
9.83,6964
10.0,6916
10.17,6868
10.33,6821
10.5,6775
10.67,6729
10.83,6684
11.0,6639
11.17,6595
11.33,6551
11.5,6508
11.67,6465
11.83,6423
12.0,6381
12.17,6340
12.33,6299
12.5,6259
12.67,6220
12.83,6181
13.0,6142
13.17,6104
13.33,6067
13.5,6030
13.67,5993
13.83,5957
14.0,5921
14.17,5886
14.33,5851
14.5,5817
14.67,5783
14.83,5750
15.0,5717
