price,trade_size
7.0,7202
7.17,7158
7.35,7115
7.52,7071
7.7,7027
7.87,6983
8.04,6939
8.22,6895
8.39,6851
8.57,6807
8.74,6763
8.91,6720
9.09,6677
9.26,6633
9.43,6590
9.61,6548
9.78,6505
9.96,6463
10.13,6421
10.3,6380
10.48,6339
10.65,6298
10.83,6258
11.0,6217
11.17,6178
11.35,6138
11.52,6100
11.7,6061
11.87,6023
12.04,5985
12.22,5948
12.39,5911
12.57,5875
12.74,5839
12.91,5803
13.09,5768
13.26,5733
13.43,5698
13.61,5664
13.78,5631
13.96,5597
14.13,5565
14.3,5532
14.48,5500
14.65,5468
14.83,5437
15.0,5406
