price,trade_size
7.0,8495
7.15,8454
7.29,8412
7.44,8370
7.58,8329
7.73,8287
7.87,8245
8.02,8204
8.16,8162
8.31,8120
8.45,8079
8.6,8038
8.75,7996
8.89,7955
9.04,7914
9.18,7874
9.33,7833
9.47,7792
9.62,7752
9.76,7712
9.91,7672
10.05,7633
10.2,7593
10.35,7554
10.49,7515
10.64,7476
10.78,7438
10.93,7400
11.07,7362
11.22,7324
11.36,7287
11.51,7249
11.65,7213
11.8,7176
11.95,7140
12.09,7104
12.24,7068
12.38,7032
12.53,6997
12.67,6962
12.82,6927
12.96,6893
13.11,6859
13.25,6825
13.4,6792
13.55,6759
13.69,6726
13.84,6693
13.98,6660
14.13,6628
14.27,6597
14.42,6565
14.56,6534
14.71,6503
14.85,6472
15.0,6441
