price,trade_size
7.0,7538
7.17,7485
7.35,7432
7.52,7379
7.7,7326
7.87,7273
8.04,7221
8.22,7169
8.39,7117
8.57,7065
8.74,7014
8.91,6963
9.09,6912
9.26,6862
9.43,6812
9.61,6763
9.78,6715
9.96,6666
10.13,6619
10.3,6572
10.48,6525
10.65,6479
10.83,6434
11.0,6389
11.17,6344
11.35,6301
11.52,6258
11.7,6215
11.87,6173
12.04,6131
12.22,6090
12.39,6050
12.57,6010
12.74,5971
12.91,5932
13.09,5894
13.26,5856
13.43,5818
13.61,5782
13.78,5745
13.96,5710
14.13,5674
14.3,5639
14.48,5605
14.65,5571
14.83,5538
15.0,5505
