price,trade_size
7.0,7866
7.17,7813
7.33,7759
7.5,7705
7.67,7652
7.83,7599
8.0,7546
8.17,7493
8.33,7440
8.5,7388
8.67,7336
8.83,7285
9.0,7234
9.17,7183
9.33,7133
9.5,7084
9.67,7034
9.83,6986
10.0,6938
10.17,6890
10.33,6843
10.5,6796
10.67,6750
10.83,6705
11.0,6660
11.17,6615
11.33,6571
11.5,6528
11.67,6485
11.83,6443
12.0,6401
12.17,6360
12.33,6319
12.5,6279
12.67,6239
12.83,6200
13.0,6162
13.17,6123
13.33,6086
13.5,6048
13.67,6012
13.83,5976
14.0,5940
14.17,5904
14.33,5870
14.5,5835
14.67,5801
14.83,5767
15.0,5734
