price,trade_size
7.0,8483
7.14,8425
7.29,8367
7.43,8310
7.57,8253
7.71,8196
7.86,8140
8.0,8084
8.14,8028
8.29,7973
8.43,7919
8.57,7865
8.71,7812
8.86,7759
9.0,7707
9.14,7656
9.29,7605
9.43,7554
9.57,7504
9.71,7455
9.86,7406
10.0,7358
10.14,7311
10.29,7264
10.43,7218
10.57,7172
10.71,7127
10.86,7082
11.0,7038
11.14,6995
11.29,6952
11.43,6909
11.57,6867
11.71,6826
11.86,6785
12.0,6745
12.14,6705
12.29,6666
12.43,6627
12.57,6589
12.71,6551
12.86,6514
13.0,6477
13.14,6440
13.29,6404
13.43,6369
13.57,6334
13.71,6299
13.86,6265
14.0,6231
14.14,6197
14.29,6164
14.43,6131
14.57,6099
14.71,6067
14.86,6035
15.0,6004
