price,trade_size
7.0,8292
7.15,8234
7.29,8177
7.44,8120
7.58,8063
7.73,8006
7.87,7950
8.02,7895
8.16,7840
8.31,7785
8.45,7731
8.6,7678
8.75,7625
8.89,7572
9.04,7521
9.18,7469
9.33,7419
9.47,7369
9.62,7319
9.76,7271
9.91,7222
10.05,7175
10.2,7128
10.35,7081
10.49,7035
10.64,6990
10.78,6945
10.93,6901
11.07,6858
11.22,6815
11.36,6772
11.51,6731
11.65,6689
11.8,6648
11.95,6608
12.09,6569
12.24,6529
12.38,6491
12.53,6452
12.67,6415
12.82,6377
12.96,6341
13.11,6304
13.25,6268
13.4,6233
13.55,6198
13.69,6164
13.84,6129
13.98,6096
14.13,6062
14.27,6030
14.42,5997
14.56,5965
14.71,5933
14.85,5902
15.0,5871
