price,trade_size
7.0,8328
7.15,8276
7.3,8224
7.45,8173
7.6,8121
7.75,8069
7.91,8018
8.06,7967
8.21,7916
8.36,7866
8.51,7816
8.66,7766
8.81,7717
8.96,7667
9.11,7619
9.26,7570
9.42,7523
9.57,7475
9.72,7428
9.87,7381
10.02,7335
10.17,7290
10.32,7244
10.47,7200
10.62,7155
10.77,7111
10.92,7068
11.08,7025
11.23,6983
11.38,6941
11.53,6899
11.68,6858
11.83,6817
11.98,6777
12.13,6738
12.28,6698
12.43,6659
12.58,6621
12.74,6583
12.89,6546
13.04,6509
13.19,6472
13.34,6436
13.49,6400
13.64,6365
13.79,6330
13.94,6295
14.09,6261
14.25,6227
14.4,6193
14.55,6160
14.7,6128
14.85,6095
15.0,6063
