price,trade_size
7.0,8126
7.16,8060
7.32,7995
7.48,7930
7.64,7866
7.8,7802
7.96,7739
8.12,7677
8.28,7615
8.44,7555
8.6,7495
8.76,7436
8.92,7377
9.08,7319
9.24,7263
9.4,7207
9.56,7151
9.72,7097
9.88,7044
10.04,6991
10.2,6939
10.36,6888
10.52,6837
10.68,6788
10.84,6739
11.0,6691
11.16,6643
11.32,6597
11.48,6551
11.64,6506
11.8,6461
11.96,6417
12.12,6374
12.28,6332
12.44,6290
12.6,6248
12.76,6208
12.92,6168
13.08,6128
13.24,6089
13.4,6051
13.56,6013
13.72,5976
13.88,5939
14.04,5903
14.2,5867
14.36,5832
14.52,5797
14.68,5762
14.84,5728
15.0,5695
