price,trade_size
7.0,7926
7.16,7883
7.33,7841
7.49,7798
7.65,7755
7.82,7713
7.98,7670
8.14,7627
8.31,7584
8.47,7542
8.63,7499
8.8,7456
8.96,7414
9.12,7372
9.29,7330
9.45,7288
9.61,7246
9.78,7205
9.94,7163
10.1,7122
10.27,7082
10.43,7041
10.59,7001
10.76,6961
10.92,6921
11.08,6882
11.24,6843
11.41,6804
11.57,6765
11.73,6727
11.9,6689
12.06,6652
12.22,6614
12.39,6577
12.55,6541
12.71,6505
12.88,6469
13.04,6433
13.2,6398
13.37,6363
13.53,6328
13.69,6294
13.86,6260
14.02,6227
14.18,6193
14.35,6160
14.51,6128
14.67,6096
14.84,6064
15.0,6032
