price,trade_size
7.0,9544
7.13,9499
7.26,9455
7.39,9410
7.52,9366
7.66,9321
7.79,9277
7.92,9232
8.05,9188
8.18,9144
8.31,9100
8.44,9056
8.57,9013
8.7,8969
8.84,8926
8.97,8883
9.1,8840
9.23,8797
9.36,8754
9.49,8712
9.62,8670
9.75,8628
9.89,8586
10.02,8545
10.15,8503
10.28,8462
10.41,8421
10.54,8381
10.67,8341
10.8,8301
10.93,8261
11.07,8221
11.2,8182
11.33,8143
11.46,8104
11.59,8066
11.72,8028
11.85,7990
11.98,7952
12.11,7915
12.25,7877
12.38,7841
12.51,7804
12.64,7768
12.77,7732
12.9,7696
13.03,7660
13.16,7625
13.3,7590
13.43,7555
13.56,7521
13.69,7487
13.82,7453
13.95,7419
14.08,7386
14.21,7353
14.34,7320
14.48,7287
14.61,7255
14.74,7223
14.87,7191
15.0,7159
