price,trade_size
7.0,7483
7.18,7435
7.36,7388
7.53,7340
7.71,7292
7.89,7244
8.07,7196
8.24,7149
8.42,7101
8.6,7053
8.78,7006
8.96,6959
9.13,6912
9.31,6866
9.49,6819
9.67,6774
9.84,6728
10.02,6683
10.2,6638
10.38,6593
10.56,6549
10.73,6506
10.91,6463
11.09,6420
11.27,6377
11.44,6336
11.62,6294
11.8,6253
11.98,6213
12.16,6173
12.33,6133
12.51,6094
12.69,6055
12.87,6017
13.04,5979
13.22,5942
13.4,5905
13.58,5868
13.76,5832
13.93,5797
14.11,5762
14.29,5727
14.47,5693
14.64,5659
14.82,5625
15.0,5592
