price,trade_size
7.0,8140
7.15,8091
7.29,8043
7.44,7994
7.58,7946
7.73,7898
7.87,7850
8.02,7802
8.16,7755
8.31,7708
8.45,7661
8.6,7614
8.75,7567
8.89,7521
9.04,7476
9.18,7430
9.33,7385
9.47,7340
9.62,7296
9.76,7252
9.91,7208
10.05,7165
10.2,7122
10.35,7080
10.49,7038
10.64,6997
10.78,6955
10.93,6915
11.07,6874
11.22,6835
11.36,6795
11.51,6756
11.65,6718
11.8,6679
11.95,6642
12.09,6604
12.24,6567
12.38,6531
12.53,6494
12.67,6459
12.82,6423
12.96,6388
13.11,6354
13.25,6320
13.4,6286
13.55,6252
13.69,6219
13.84,6186
13.98,6154
14.13,6122
14.27,6090
14.42,6059
14.56,6028
14.71,5997
14.85,5967
15.0,5937
