price,trade_size
7.0,8059
7.16,8016
7.32,7974
7.48,7931
7.64,7888
7.8,7845
7.96,7802
8.12,7759
8.28,7717
8.44,7674
8.6,7631
8.76,7589
8.92,7546
9.08,7504
9.24,7462
9.4,7420
9.56,7378
9.72,7337
9.88,7296
10.04,7255
10.2,7214
10.36,7173
10.52,7133
10.68,7093
10.84,7053
11.0,7013
11.16,6974
11.32,6935
11.48,6897
11.64,6859
11.8,6821
11.96,6783
12.12,6746
12.28,6708
12.44,6672
12.6,6635
12.76,6599
12.92,6564
13.08,6528
13.24,6493
13.4,6458
13.56,6424
13.72,6390
13.88,6356
14.04,6322
14.2,6289
14.36,6256
14.52,6224
14.68,6192
14.84,6160
15.0,6128
