price,trade_size
7.0,7605
7.18,7556
7.36,7506
7.53,7456
7.71,7406
7.89,7356
8.07,7306
8.24,7257
8.42,7207
8.6,7158
8.78,7109
8.96,7060
9.13,7012
9.31,6963
9.49,6916
9.67,6868
9.84,6821
10.02,6774
10.2,6728
10.38,6682
10.56,6637
10.73,6592
10.91,6548
11.09,6504
11.27,6460
11.44,6417
11.62,6374
11.8,6332
11.98,6291
12.16,6250
12.33,6209
12.51,6169
12.69,6129
12.87,6090
13.04,6051
13.22,6013
13.4,5975
13.58,5938
13.76,5901
13.93,5865
14.11,5829
14.29,5794
14.47,5758
14.64,5724
14.82,5690
15.0,5656
