price,trade_size
7.0,10491
7.11,10448
7.22,10405
7.33,10362
7.44,10319
7.56,10276
7.67,10233
7.78,10190
7.89,10148
8.0,10105
8.11,10063
8.22,10021
8.33,9978
8.44,9936
8.56,9895
8.67,9853
8.78,9811
8.89,9770
9.0,9729
9.11,9687
9.22,9646
9.33,9606
9.44,9565
9.56,9525
9.67,9485
9.78,9445
9.89,9405
10.0,9365
10.11,9326
10.22,9286
10.33,9247
10.44,9209
10.56,9170
10.67,9132
10.78,9093
10.89,9055
11.0,9018
11.11,8980
11.22,8943
11.33,8906
11.44,8869
11.56,8832
11.67,8796
11.78,8759
11.89,8723
12.0,8688
12.11,8652
12.22,8617
12.33,8581
12.44,8547
12.56,8512
12.67,8477
12.78,8443
12.89,8409
13.0,8375
13.11,8342
13.22,8308
13.33,8275
13.44,8242
13.56,8209
13.67,8177
13.78,8144
13.89,8112
14.0,8080
14.11,8049
14.22,8017
14.33,7986
14.44,7955
14.56,7924
14.67,7893
14.78,7863
14.89,7832
15.0,7802
