price,trade_size
7.0,9449
7.13,9405
7.26,9361
7.39,9316
7.52,9272
7.66,9227
7.79,9183
7.92,9139
8.05,9095
8.18,9051
8.31,9007
8.44,8964
8.57,8920
8.7,8877
8.84,8834
8.97,8791
9.1,8748
9.23,8705
9.36,8663
9.49,8620
9.62,8578
9.75,8537
9.89,8495
10.02,8454
10.15,8413
10.28,8372
10.41,8331
10.54,8291
10.67,8251
10.8,8211
10.93,8172
11.07,8132
11.2,8093
11.33,8054
11.46,8016
11.59,7978
11.72,7940
11.85,7902
11.98,7865
12.11,7828
12.25,7791
12.38,7754
12.51,7718
12.64,7682
12.77,7646
12.9,7610
13.03,7575
13.16,7540
13.3,7506
13.43,7471
13.56,7437
13.69,7403
13.82,7370
13.95,7336
14.08,7303
14.21,7270
14.34,7238
14.48,7205
14.61,7173
14.74,7141
14.87,7110
15.0,7079
