price,trade_size
7.0,8693
7.14,8635
7.28,8578
7.41,8521
7.55,8464
7.69,8408
7.83,8352
7.97,8297
8.1,8242
8.24,8187
8.38,8133
8.52,8080
8.66,8027
8.79,7975
8.93,7923
9.07,7871
9.21,7821
9.34,7770
9.48,7721
9.62,7672
9.76,7623
9.9,7575
10.03,7528
10.17,7481
10.31,7435
10.45,7389
10.59,7344
10.72,7299
10.86,7255
11.0,7211
11.14,7168
11.28,7126
11.41,7084
11.55,7042
11.69,7001
11.83,6961
11.97,6921
12.1,6881
12.24,6842
12.38,6803
12.52,6765
12.66,6728
12.79,6690
12.93,6653
13.07,6617
13.21,6581
13.34,6546
13.48,6511
13.62,6476
13.76,6442
13.9,6408
14.03,6374
14.17,6341
14.31,6308
14.45,6276
14.59,6244
14.72,6212
14.86,6180
15.0,6149
