price,trade_size
7.0,11436
7.09,11393
7.18,11351
7.27,11309
7.36,11266
7.44,11224
7.53,11183
7.62,11141
7.71,11099
7.8,11058
7.89,11016
7.98,10975
8.07,10934
8.16,10893
8.24,10852
8.33,10812
8.42,10771
8.51,10731
8.6,10690
8.69,10650
8.78,10611
8.87,10571
8.96,10531
9.04,10492
9.13,10453
9.22,10414
9.31,10375
9.4,10336
9.49,10298
9.58,10260
9.67,10222
9.76,10184
9.84,10146
9.93,10108
10.02,10071
10.11,10034
10.2,9997
10.29,9960
10.38,9924
10.47,9887
10.56,9851
10.64,9815
10.73,9779
10.82,9743
10.91,9708
11.0,9673
11.09,9638
11.18,9603
11.27,9568
11.36,9534
11.44,9499
11.53,9465
11.62,9431
11.71,9398
11.8,9364
11.89,9331
11.98,9298
12.07,9265
12.16,9232
12.24,9199
12.33,9167
12.42,9135
12.51,9103
12.6,9071
12.69,9039
12.78,9008
12.87,8976
12.96,8945
13.04,8914
13.13,8883
13.22,8853
13.31,8822
13.4,8792
13.49,8762
13.58,8732
13.67,8702
13.76,8673
13.84,8643
13.93,8614
14.02,8585
14.11,8556
14.2,8527
14.29,8499
14.38,8471
14.47,8442
14.56,8414
14.64,8386
14.73,8359
14.82,8331
14.91,8303
15.0,8276
