price,trade_size
7.0,8102
7.16,8033
7.33,7966
7.49,7898
7.65,7832
7.82,7766
7.98,7701
8.14,7637
8.31,7574
8.47,7512
8.63,7450
8.8,7389
8.96,7329
9.12,7270
9.29,7212
9.45,7155
9.61,7098
9.78,7043
9.94,6988
10.1,6935
10.27,6882
10.43,6830
10.59,6778
10.76,6728
10.92,6678
11.08,6630
11.24,6582
11.41,6534
11.57,6488
11.73,6442
11.9,6397
12.06,6353
12.22,6309
12.39,6266
12.55,6224
12.71,6182
12.88,6141
13.04,6101
13.2,6061
13.37,6022
13.53,5983
13.69,5945
13.86,5907
14.02,5870
14.18,5834
14.35,5798
14.51,5762
14.67,5727
14.84,5693
15.0,5659
