price,trade_size
7.0,8439
7.15,8374
7.31,8308
7.46,8244
7.62,8179
7.77,8116
7.92,8053
8.08,7991
8.23,7929
8.38,7868
8.54,7808
8.69,7749
8.85,7690
9.0,7633
9.15,7576
9.31,7519
9.46,7464
9.62,7409
9.77,7355
9.92,7302
10.08,7250
10.23,7198
10.38,7147
10.54,7097
10.69,7047
10.85,6999
11.0,6951
11.15,6903
11.31,6857
11.46,6811
11.62,6765
11.77,6721
11.92,6677
12.08,6633
12.23,6591
12.38,6548
12.54,6507
12.69,6466
12.85,6426
13.0,6386
13.15,6346
13.31,6308
13.46,6269
13.62,6232
13.77,6194
13.92,6158
14.08,6121
14.23,6086
14.38,6050
14.54,6015
14.69,5981
14.85,5947
15.0,5913
