price,trade_size
7.0,8335
7.15,8270
7.31,8205
7.46,8141
7.62,8078
7.77,8015
7.92,7953
8.08,7891
8.23,7831
8.38,7770
8.54,7711
8.69,7652
8.85,7595
9.0,7537
9.15,7481
9.31,7426
9.46,7371
9.62,7317
9.77,7263
9.92,7211
10.08,7159
10.23,7108
10.38,7058
10.54,7008
10.69,6959
10.85,6911
11.0,6864
11.15,6817
11.31,6771
11.46,6726
11.62,6681
11.77,6637
11.92,6593
12.08,6551
12.23,6508
12.38,6467
12.54,6426
12.69,6385
12.85,6346
13.0,6306
13.15,6268
13.31,6229
13.46,6192
13.62,6154
13.77,6118
13.92,6081
14.08,6046
14.23,6010
14.38,5975
14.54,5941
14.69,5907
14.85,5874
15.0,5840
