price,trade_size
7.0,8226
7.15,8166
7.3,8107
7.45,8048
7.6,7990
7.75,7932
7.91,7874
8.06,7817
8.21,7760
8.36,7704
8.51,7649
8.66,7594
8.81,7540
8.96,7486
9.11,7433
9.26,7381
9.42,7329
9.57,7278
9.72,7228
9.87,7178
10.02,7128
10.17,7080
10.32,7032
10.47,6985
10.62,6938
10.77,6892
10.92,6847
11.08,6802
11.23,6758
11.38,6714
11.53,6671
11.68,6629
11.83,6587
11.98,6545
12.13,6505
12.28,6464
12.43,6425
12.58,6386
12.74,6347
12.89,6309
13.04,6271
13.19,6234
13.34,6198
13.49,6161
13.64,6126
13.79,6091
13.94,6056
14.09,6021
14.25,5988
14.4,5954
14.55,5921
14.7,5888
14.85,5856
15.0,5824
