price,trade_size
7.0,7972
7.16,7922
7.32,7872
7.48,7822
7.64,7772
7.8,7723
7.96,7673
8.12,7624
8.28,7575
8.44,7526
8.6,7477
8.76,7429
8.92,7381
9.08,7333
9.24,7286
9.4,7239
9.56,7192
9.72,7146
9.88,7100
10.04,7055
10.2,7010
10.36,6965
10.52,6921
10.68,6877
10.84,6834
11.0,6791
11.16,6749
11.32,6707
11.48,6666
11.64,6625
11.8,6584
11.96,6544
12.12,6504
12.28,6465
12.44,6427
12.6,6388
12.76,6350
12.92,6313
13.08,6276
13.24,6240
13.4,6203
13.56,6168
13.72,6132
13.88,6098
14.04,6063
14.2,6029
14.36,5995
14.52,5962
14.68,5929
14.84,5897
15.0,5865
