price,trade_size
7.0,8698
7.14,8656
7.28,8615
7.42,8573
7.56,8532
7.7,8490
7.84,8449
7.98,8407
8.12,8366
8.26,8325
8.4,8283
8.54,8242
8.68,8201
8.82,8160
8.96,8120
9.11,8079
9.25,8039
9.39,7998
9.53,7958
9.67,7918
9.81,7879
9.95,7839
10.09,7800
10.23,7761
10.37,7722
10.51,7684
10.65,7645
10.79,7607
10.93,7569
11.07,7532
11.21,7494
11.35,7457
11.49,7420
11.63,7384
11.77,7347
11.91,7311
12.05,7275
12.19,7240
12.33,7205
12.47,7170
12.61,7135
12.75,7100
12.89,7066
13.04,7032
13.18,6999
13.32,6965
13.46,6932
13.6,6899
13.74,6867
13.88,6834
14.02,6802
14.16,6771
14.3,6739
14.44,6708
14.58,6677
14.72,6646
14.86,6616
15.0,6585
