price,trade_size
7.0,8259
7.16,8206
7.31,8152
7.47,8099
7.63,8046
7.78,7993
7.94,7940
8.1,7888
8.25,7835
8.41,7784
8.57,7732
8.73,7681
8.88,7630
9.04,7580
9.2,7530
9.35,7480
9.51,7431
9.67,7383
9.82,7334
9.98,7287
10.14,7240
10.29,7193
10.45,7147
10.61,7101
10.76,7056
10.92,7011
11.08,6967
11.24,6923
11.39,6880
11.55,6837
11.71,6795
11.86,6753
12.02,6712
12.18,6671
12.33,6631
12.49,6591
12.65,6552
12.8,6513
12.96,6474
13.12,6436
13.27,6399
13.43,6362
13.59,6325
13.75,6289
13.9,6253
14.06,6218
14.22,6183
14.37,6148
14.53,6114
14.69,6081
14.84,6047
15.0,6014
