price,trade_size
7.0,7827
7.16,7776
7.32,7725
7.48,7674
7.64,7624
7.8,7573
7.96,7523
8.12,7473
8.28,7423
8.44,7373
8.6,7324
8.76,7275
8.92,7226
9.08,7178
9.24,7130
9.4,7082
9.56,7035
9.72,6989
9.88,6942
10.04,6897
10.2,6851
10.36,6807
10.52,6762
10.68,6719
10.84,6675
11.0,6632
11.16,6590
11.32,6548
11.48,6507
11.64,6466
11.8,6426
11.96,6386
12.12,6346
12.28,6307
12.44,6269
12.6,6231
12.76,6193
12.92,6156
13.08,6120
13.24,6083
13.4,6048
13.56,6012
13.72,5978
13.88,5943
14.04,5909
14.2,5875
14.36,5842
14.52,5809
14.68,5777
14.84,5745
15.0,5713
