price,trade_size
7.0,8401
7.15,8342
7.3,8282
7.44,8223
7.59,8164
7.74,8106
7.89,8049
8.04,7991
8.19,7935
8.33,7878
8.48,7823
8.63,7768
8.78,7713
8.93,7659
9.07,7606
9.22,7553
9.37,7501
9.52,7450
9.67,7399
9.81,7349
9.96,7299
10.11,7250
10.26,7202
10.41,7155
10.56,7107
10.7,7061
10.85,7015
11.0,6970
11.15,6925
11.3,6881
11.44,6838
11.59,6795
11.74,6753
11.89,6711
12.04,6670
12.19,6629
12.33,6589
12.48,6549
12.63,6510
12.78,6471
12.93,6433
13.07,6396
13.22,6359
13.37,6322
13.52,6286
13.67,6250
13.81,6215
13.96,6180
14.11,6145
14.26,6111
14.41,6078
14.56,6044
14.7,6011
14.85,5979
15.0,5947
