price,trade_size
7.0,7992
7.16,7926
7.33,7860
7.49,7795
7.65,7731
7.82,7667
7.98,7604
8.14,7541
8.31,7479
8.47,7418
8.63,7358
8.8,7299
8.96,7241
9.12,7183
9.29,7126
9.45,7070
9.61,7015
9.78,6961
9.94,6907
10.1,6854
10.27,6802
10.43,6751
10.59,6701
10.76,6652
10.92,6603
11.08,6555
11.24,6508
11.41,6462
11.57,6416
11.73,6371
11.9,6327
12.06,6283
12.22,6240
12.39,6198
12.55,6156
12.71,6115
12.88,6075
13.04,6035
13.2,5996
13.37,5958
13.53,5920
13.69,5882
13.86,5845
14.02,5809
14.18,5773
14.35,5738
14.51,5703
14.67,5668
14.84,5634
15.0,5601
