price,trade_size
7.0,7968
7.17,7914
7.33,7859
7.5,7805
7.67,7751
7.83,7697
8.0,7643
8.17,7589
8.33,7536
8.5,7483
8.67,7431
8.83,7379
9.0,7327
9.17,7276
9.33,7225
9.5,7175
9.67,7125
9.83,7076
10.0,7027
10.17,6978
10.33,6931
10.5,6884
10.67,6837
10.83,6791
11.0,6745
11.17,6700
11.33,6656
11.5,6612
11.67,6568
11.83,6526
12.0,6483
12.17,6441
12.33,6400
12.5,6359
12.67,6319
12.83,6280
13.0,6240
13.17,6202
13.33,6164
13.5,6126
13.67,6089
13.83,6052
14.0,6016
14.17,5980
14.33,5944
14.5,5909
14.67,5875
14.83,5841
15.0,5807
