price,trade_size
7.0,9536
7.12,9494
7.25,9452
7.37,9411
7.49,9369
7.62,9327
7.74,9286
7.86,9244
7.98,9203
8.11,9161
8.23,9120
8.35,9079
8.48,9038
8.6,8997
8.72,8956
8.85,8916
8.97,8875
9.09,8835
9.22,8795
9.34,8755
9.46,8715
9.58,8675
9.71,8636
9.83,8597
9.95,8558
10.08,8519
10.2,8480
10.32,8442
10.45,8404
10.57,8366
10.69,8328
10.82,8291
10.94,8253
11.06,8216
11.18,8179
11.31,8143
11.43,8107
11.55,8070
11.68,8035
11.8,7999
11.92,7963
12.05,7928
12.17,7893
12.29,7859
12.42,7824
12.54,7790
12.66,7756
12.78,7722
12.91,7689
13.03,7655
13.15,7622
13.28,7590
13.4,7557
13.52,7525
13.65,7493
13.77,7461
13.89,7429
14.02,7398
14.14,7366
14.26,7335
14.38,7305
14.51,7274
14.63,7244
14.75,7214
14.88,7184
15.0,7154
