price,trade_size
7.0,8624
7.14,8566
7.28,8508
7.42,8450
7.56,8393
7.7,8336
7.84,8280
7.98,8224
8.12,8169
8.26,8114
8.4,8060
8.54,8006
8.68,7952
8.82,7900
8.96,7847
9.11,7796
9.25,7745
9.39,7694
9.53,7644
9.67,7595
9.81,7546
9.95,7498
10.09,7450
10.23,7403
10.37,7357
10.51,7311
10.65,7265
10.79,7220
10.93,7176
11.07,7132
11.21,7089
11.35,7047
11.49,7004
11.63,6963
11.77,6922
11.91,6881
12.05,6841
12.19,6802
12.33,6762
12.47,6724
12.61,6686
12.75,6648
12.89,6611
13.04,6574
13.18,6538
13.32,6502
13.46,6466
13.6,6431
13.74,6396
13.88,6362
14.02,6328
14.16,6295
14.3,6262
14.44,6229
14.58,6197
14.72,6165
14.86,6133
15.0,6102
