price,trade_size
7.0,8230
7.15,8170
7.31,8109
7.46,8049
7.62,7990
7.77,7931
7.92,7872
8.08,7814
8.23,7756
8.38,7699
8.54,7643
8.69,7587
8.85,7532
9.0,7477
9.15,7424
9.31,7370
9.46,7318
9.62,7266
9.77,7214
9.92,7164
10.08,7114
10.23,7065
10.38,7016
10.54,6968
10.69,6921
10.85,6874
11.0,6828
11.15,6783
11.31,6738
11.46,6694
11.62,6650
11.77,6607
11.92,6565
12.08,6523
12.23,6482
12.38,6442
12.54,6401
12.69,6362
12.85,6323
13.0,6284
13.15,6246
13.31,6209
13.46,6172
13.62,6136
13.77,6100
13.92,6064
14.08,6029
14.23,5994
14.38,5960
14.54,5926
14.69,5893
14.85,5860
15.0,5827
