price,trade_size
7.0,7379
7.17,7329
7.34,7280
7.51,7230
7.68,7181
7.85,7131
8.02,7082
8.19,7033
8.36,6984
8.53,6935
8.7,6887
8.87,6839
9.04,6791
9.21,6743
9.38,6696
9.55,6650
9.72,6604
9.89,6558
10.06,6513
10.23,6468
10.4,6424
10.57,6380
10.74,6336
10.91,6293
11.09,6251
11.26,6209
11.43,6168
11.6,6127
11.77,6087
11.94,6047
12.11,6008
12.28,5969
12.45,5930
12.62,5893
12.79,5855
12.96,5818
13.13,5782
13.3,5746
13.47,5711
13.64,5676
13.81,5641
13.98,5607
14.15,5573
14.32,5540
14.49,5507
14.66,5475
14.83,5443
15.0,5412
