price,trade_size
7.0,11015
7.1,10971
7.2,10928
7.29,10884
7.39,10840
7.49,10797
7.59,10754
7.68,10711
7.78,10668
7.88,10625
7.98,10582
8.07,10539
8.17,10497
8.27,10455
8.37,10413
8.46,10371
8.56,10329
8.66,10287
8.76,10246
8.85,10205
8.95,10164
9.05,10123
9.15,10082
9.24,10041
9.34,10001
9.44,9961
9.54,9921
9.63,9881
9.73,9842
9.83,9803
9.93,9764
10.02,9725
10.12,9686
10.22,9648
10.32,9609
10.41,9571
10.51,9534
10.61,9496
10.71,9459
10.8,9421
10.9,9384
11.0,9348
11.1,9311
11.2,9275
11.29,9239
11.39,9203
11.49,9167
11.59,9132
11.68,9097
11.78,9062
11.88,9027
11.98,8992
12.07,8958
12.17,8924
12.27,8890
12.37,8856
12.46,8822
12.56,8789
12.66,8756
12.76,8723
12.85,8690
12.95,8658
13.05,8625
13.15,8593
13.24,8561
13.34,8530
13.44,8498
13.54,8467
13.63,8436
13.73,8405
13.83,8374
13.93,8344
14.02,8313
14.12,8283
14.22,8253
14.32,8223
14.41,8194
14.51,8164
14.61,8135
14.71,8106
14.8,8077
14.9,8048
15.0,8020
