price,trade_size
7.0,10136
7.12,10093
7.24,10049
7.35,10006
7.47,9962
7.59,9919
7.71,9876
7.82,9833
7.94,9790
8.06,9747
8.18,9704
8.29,9661
8.41,9619
8.53,9576
8.65,9534
8.76,9492
8.88,9450
9.0,9408
9.12,9366
9.24,9325
9.35,9284
9.47,9243
9.59,9202
9.71,9161
9.82,9121
9.94,9080
10.06,9040
10.18,9001
10.29,8961
10.41,8922
10.53,8882
10.65,8843
10.76,8805
10.88,8766
11.0,8728
11.12,8690
11.24,8652
11.35,8614
11.47,8577
11.59,8540
11.71,8503
11.82,8466
11.94,8430
12.06,8394
12.18,8358
12.29,8322
12.41,8286
12.53,8251
12.65,8216
12.76,8181
12.88,8147
13.0,8112
13.12,8078
13.24,8044
13.35,8011
13.47,7977
13.59,7944
13.71,7911
13.82,7879
13.94,7846
14.06,7814
14.18,7782
14.29,7750
14.41,7718
14.53,7687
14.65,7656
14.76,7625
14.88,7594
15.0,7563
