price,trade_size
7.0,8216
7.14,8170
7.29,8124
7.43,8077
7.57,8031
7.71,7985
7.86,7940
8.0,7894
8.14,7848
8.29,7803
8.43,7758
8.57,7713
8.71,7668
8.86,7624
9.0,7580
9.14,7536
9.29,7492
9.43,7449
9.57,7406
9.71,7364
9.86,7321
10.0,7279
10.14,7238
10.29,7197
10.43,7156
10.57,7115
10.71,7075
10.86,7035
11.0,6996
11.14,6957
11.29,6918
11.43,6880
11.57,6842
11.71,6805
11.86,6767
12.0,6731
12.14,6694
12.29,6658
12.43,6622
12.57,6587
12.71,6552
12.86,6518
13.0,6483
13.14,6449
13.29,6416
13.43,6383
13.57,6350
13.71,6317
13.86,6285
14.0,6253
14.14,6222
14.29,6190
14.43,6160
14.57,6129
14.71,6099
14.86,6069
15.0,6039
