price,trade_size
7.0,8650
7.14,8607
7.28,8564
7.41,8521
7.55,8479
7.69,8436
7.83,8393
7.97,8350
8.1,8308
8.24,8265
8.38,8223
8.52,8181
8.66,8139
8.79,8097
8.93,8055
9.07,8013
9.21,7972
9.34,7931
9.48,7890
9.62,7849
9.76,7809
9.9,7769
10.03,7729
10.17,7689
10.31,7649
10.45,7610
10.59,7571
10.72,7532
10.86,7494
11.0,7456
11.14,7418
11.28,7381
11.41,7343
11.55,7306
11.69,7270
11.83,7233
11.97,7197
12.1,7161
12.24,7126
12.38,7091
12.52,7056
12.66,7021
12.79,6987
12.93,6953
13.07,6919
13.21,6885
13.34,6852
13.48,6819
13.62,6787
13.76,6754
13.9,6722
14.03,6691
14.17,6659
14.31,6628
14.45,6597
14.59,6566
14.72,6536
14.86,6506
15.0,6476
