price,trade_size
7.0,8303
7.14,8259
7.27,8214
7.41,8170
7.54,8126
7.68,8082
7.81,8038
7.95,7994
8.08,7950
8.22,7906
8.36,7863
8.49,7819
8.63,7776
8.76,7734
8.9,7691
9.03,7649
9.17,7607
9.31,7565
9.44,7524
9.58,7482
9.71,7441
9.85,7401
9.98,7361
10.12,7321
10.25,7281
10.39,7242
10.53,7203
10.66,7164
10.8,7126
10.93,7088
11.07,7050
11.2,7013
11.34,6976
11.47,6939
11.61,6903
11.75,6867
11.88,6831
12.02,6796
12.15,6761
12.29,6727
12.42,6692
12.56,6658
12.69,6625
12.83,6592
12.97,6559
13.1,6526
13.24,6494
13.37,6462
13.51,6430
13.64,6399
13.78,6368
13.92,6337
14.05,6306
14.19,6276
14.32,6246
14.46,6217
14.59,6187
14.73,6158
14.86,6130
15.0,6101
