price,trade_size
7.0,8621
7.14,8570
7.29,8519
7.43,8468
7.57,8418
7.71,8367
7.86,8317
8.0,8267
8.14,8218
8.29,8168
8.43,8119
8.57,8070
8.71,8021
8.86,7973
9.0,7925
9.14,7878
9.29,7831
9.43,7784
9.57,7737
9.71,7691
9.86,7646
10.0,7601
10.14,7556
10.29,7512
10.43,7468
10.57,7424
10.71,7381
10.86,7338
11.0,7296
11.14,7254
11.29,7213
11.43,7172
11.57,7131
11.71,7091
11.86,7052
12.0,7012
12.14,6973
12.29,6935
12.43,6897
12.57,6859
12.71,6822
12.86,6785
13.0,6749
13.14,6713
13.29,6677
13.43,6642
13.57,6607
13.71,6572
13.86,6538
14.0,6504
14.14,6471
14.29,6437
14.43,6405
14.57,6372
14.71,6340
14.86,6308
15.0,6277
