price,trade_size
7.0,8050
7.15,8000
7.31,7949
7.46,7899
7.62,7848
7.77,7798
7.92,7748
8.08,7698
8.23,7649
8.38,7599
8.54,7550
8.69,7502
8.85,7453
9.0,7405
9.15,7358
9.31,7311
9.46,7264
9.62,7217
9.77,7172
9.92,7126
10.08,7081
10.23,7036
10.38,6992
10.54,6948
10.69,6905
10.85,6862
11.0,6820
11.15,6778
11.31,6736
11.46,6695
11.62,6655
11.77,6615
11.92,6575
12.08,6536
12.23,6498
12.38,6459
12.54,6421
12.69,6384
12.85,6347
13.0,6311
13.15,6275
13.31,6239
13.46,6204
13.62,6169
13.77,6135
13.92,6101
14.08,6067
14.23,6034
14.38,6001
14.54,5968
14.69,5936
14.85,5905
15.0,5873
